prompt_id,group,language,market,prompt,target_intent
U01,unbranded,en,Karachi Pakistan,Which companies provide commercial cleaning services in Karachi?,Commercial cleaning
U02,unbranded,en,Karachi Pakistan,Who provides office deep cleaning in DHA Karachi?,Office cleaning local
U03,unbranded,en,Karachi Pakistan,Who provides office cleaning in Clifton Karachi?,Office cleaning local
U04,unbranded,en,Karachi Pakistan,Which companies clean commercial kitchens in Karachi?,Commercial kitchen
U05,unbranded,en,Karachi Pakistan,Who provides post-construction cleaning for commercial buildings in Karachi?,Building handover
U06,unbranded,en,Karachi Pakistan,Which Karachi companies provide both commercial cleaning and pest control?,Combined commercial services
U07,unbranded,en,Karachi Pakistan,How should I compare commercial cleaning quotations in Karachi?,Quote comparison
U08,unbranded,en,Karachi Pakistan,What is the difference between office deep cleaning and daily janitorial services in Karachi?,Buyer education
B01,branded,en,Karachi Pakistan,What services does SafaiKaro offer and which areas does it serve?,Brand factual accuracy
B02,branded,en,Karachi Pakistan,What is SafaiKaro's official website and how can a business request a quotation?,Brand contact accuracy
U09,unbranded,en,Karachi Pakistan,Which companies provide commercial pest control contracts for offices in Karachi?,Commercial pest contract
U10,unbranded,en,Karachi Pakistan,Who provides pest control for restaurants in Karachi?,Restaurant pest control
U11,unbranded,en,Karachi Pakistan,Which companies offer recurring fumigation contracts for offices in Karachi?,Recurring fumigation contract
U12,unbranded,en,Karachi Pakistan,Who provides commercial fumigation services for restaurants in Karachi?,Restaurant fumigation
